IRI,Name,Form
http://resource.geosciml.org/classifier/ics/ischart/Langhian,Langhien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Langhian,Reinbek,regcorrel
http://resource.geosciml.org/classifier/ics/ischart/UpperPleistocene,Laat Pleistoceen,"timescale,longform"
http://resource.geosciml.org/classifier/ics/ischart/UpperPleistocene,Boven Pleistoceen,"stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/UpperPleistocene,Laat,"timescale,shortform"
http://resource.geosciml.org/classifier/ics/ischart/UpperPleistocene,Boven,"stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/UpperCretaceous,Laat Krijt,"timescale,longform"
http://resource.geosciml.org/classifier/ics/ischart/UpperCretaceous,Boven Krijt,"stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/UpperCretaceous,Laat,"timescale,shortform"
http://resource.geosciml.org/classifier/ics/ischart/UpperCretaceous,Boven,"stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/UpperDevonian,Laat Devoon,"timescale,longform"
http://resource.geosciml.org/classifier/ics/ischart/UpperDevonian,Boven Devoon,"stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/UpperDevonian,Laat,"timescale,shortform"
http://resource.geosciml.org/classifier/ics/ischart/UpperDevonian,Boven,"stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/UpperJurassic,Laat Jura,"timescale,longform"
http://resource.geosciml.org/classifier/ics/ischart/UpperJurassic,Boven Jura,"stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/UpperJurassic,Laat,"timescale,shortform"
http://resource.geosciml.org/classifier/ics/ischart/UpperJurassic,Boven,"stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/UpperMississippian,Laat Mississippien,"timescale,longform"
http://resource.geosciml.org/classifier/ics/ischart/UpperMississippian,Boven Mississippien,"stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/UpperMississippian,Laat,"timescale,shortform"
http://resource.geosciml.org/classifier/ics/ischart/UpperMississippian,Boven,"stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/UpperOrdovician,Laat Ordovicium,"timescale,longform"
http://resource.geosciml.org/classifier/ics/ischart/UpperOrdovician,Boven Ordovicium,"stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/UpperOrdovician,Laat,"timescale,shortform"
http://resource.geosciml.org/classifier/ics/ischart/UpperOrdovician,Boven,"stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/UpperPennsylvanian,Laat Pennsylvanien,"timescale,longform"
http://resource.geosciml.org/classifier/ics/ischart/UpperPennsylvanian,Boven Pennsylvanien,"stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/UpperPennsylvanian,Laat Pennsylvanien,"timescale,shortform"
http://resource.geosciml.org/classifier/ics/ischart/UpperPennsylvanian,Laat,"stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/UpperTriassic,Boven,"timescale,longform"
http://resource.geosciml.org/classifier/ics/ischart/UpperTriassic,Boven Trias,"stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/UpperTriassic,Laat,"timescale,shortform"
http://resource.geosciml.org/classifier/ics/ischart/UpperTriassic,Boven,"stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Llandovery,Llandovery,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Lochkovian,Lochkovien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Lopingian,Lopingien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Ludfordian,Ludfordien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Ludlow,Ludlow,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Lutetian,Lutetien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Maastrichtian,Maastrichtien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Meghalayan,Meghalayen,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Mesoarchean,Meso-archeïcum,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Mesoproterozoic,Mesoproterozoïcum,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Mesozoic,Mesozoïcum,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Messinian,Susterien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Miaolingian,Miaolingien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/MiddleDevonian,Midden Devoon,"timescale,stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/MiddleDevonian,Midden,"timescale,stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/MiddleJurassic,Midden Jura,"timescale,stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/MiddleJurassic,Midden,"timescale,stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/MiddleMississippian,Midden Mississippien,"timescale,stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/MiddleMississippian,Midden,"timescale,stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/MiddleOrdovician,Midden Ordovicium,"timescale,stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/MiddleOrdovician,Midden,"timescale,stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/MiddlePennsylvanian,Midden Pennsylvanien,"timescale,stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/MiddlePennsylvanian,Midden,"timescale,stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/MiddleTriassic,Midden Trias,"timescale,stratigraphic,longform"
http://resource.geosciml.org/classifier/ics/ischart/MiddleTriassic,Midden,"timescale,stratigraphic,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Miocene,Mioceen,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Mississippian,Mississippien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Moscovian,Moscovien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Neoarchean,Neo-archeïcum,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Neogene,Neogeen,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Neoproterozoic,Neoproterozoïcum,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Norian,Norien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Northgrippian,Northgrippien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Olenekian,Olenekien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Oligocene,Oliogoceen,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Ordovician,Ordovicium,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Orosirian,Orosirien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Oxfordian,Oxfordien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Paibian,Paibien,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Paleoarchean,Paleo-archeïcum,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Paleocene,Paleoceen,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Paleogene,Paleogeen,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Paleoproterozoic,Paleoproterozoïcum,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Paleozoic,Paleozoïcum,"timescale,stratigraphic,longform,shortform"
http://resource.geosciml.org/classifier/ics/ischart/Pennsylvanian,Pennsylvanien,"timescale,stratigraphic,longform,shortform"
